trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-138.95126643360112,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-172.1241419857031,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-106.89648005091317,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-75.11707182091021,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-93.25456698294279,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-58.55645499842966,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-150.73071565062443,"{0: 19, 1: 0, 2: 9, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-45.81206744755832,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-24.943544557590187,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-210.78564385318455,"{0: 19, 1: 1, 2: 5, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,12,3.706844809895238,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-86.437816184618,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,2,-17.41989181026038,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-109.65097393761228,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-72.34270935010748,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-183.86878940637774,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-1.2946838062682595,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,9,5.120262772716547,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-65.70190939777808,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-12.260817229759734,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-33.02336483453734,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-80.71140207541262,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,12,14.260411835680713,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,7,-21.125934190233426,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,0,35.85398796440248,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,8,-65.40773532035898,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
7,True,"{'a': 0.0, 'e': 0.0}",35,23,19.560647197390622,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-38.58643970319731,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,11,9.492439543794148,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,23,-0.733581847502305,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
