trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 399.99999999999994}",20,0,-75.36805751183644,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 99.99999999999999}",20,1,-131.03332642580483,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 44.444444444444436}",30,0,-147.01964710836273,"{0: 20, 1: 5, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 24.999999999999996}",20,0,-154.28538359725346,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 16.0}",20,3,-83.04965435335173,"{0: 10, 1: 4, 2: 1, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 11.11111111111111}",20,13,-30.695218455985547,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 8.163265306122451}",20,0,-86.21589618401637,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 6.250000000000001}",20,0,-24.760951417544426,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 4.938271604938272}",25,6,-38.744556300875786,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 4.000000000000001}",20,0,-61.134318565034846,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 3.3057851239669427}",20,4,-6.447989445034461,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 2.7777777777777777}",35,0,-85.41948914800882,"{0: 25, 1: 5, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 2.3668639053254434}",25,0,-106.20458969347872,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 2.040816326530612}",20,0,-69.00022402285829,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.7777777777777775}",20,0,-113.88039052947906,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.5624999999999993}",20,0,-207.45149341039996,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.3840830449826982}",20,12,-37.42433941812094,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.2345679012345672}",25,13,-39.786371311384954,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.1080332409972293}",20,5,-50.19923903402807,"{0: 8, 1: 2, 2: 5, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.9999999999999996}",30,8,-49.83282701641292,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.9070294784580495}",30,0,-171.53491519449986,"{0: 15, 1: 4, 2: 9, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8264462809917351}",25,0,-75.47270189388342,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.7561436672967858}",20,9,-33.85426254559686,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.694444444444444}",20,0,-53.25701296874838,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.6399999999999996}",25,0,-101.731863600236,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.5917159763313605}",35,0,-18.559256566011314,"{0: 28, 1: 2, 2: 5, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.5486968449931409}",25,0,-70.3072528124931,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.5102040816326526}",25,13,-7.103139151029424,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.4756242568370983}",30,0,-61.80787821820526,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.44444444444444403}",25,19,-1.4757153610595548,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.41623309053069685}",20,9,-59.40040875686468,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.39062499999999967}",20,0,-34.37532378666507,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.36730945821854877}",20,0,-89.9691408453171,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.3460207612456744}",20,0,-104.30990814343832,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
35,False,"{'a': 0.5, 'e': 0.3265306122448976}",30,0,-66.24534837325113,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.3086419753086417}",30,2,-131.29617952849313,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 3}",1
37,False,"{'a': 0.5, 'e': 0.29218407596785945}",20,12,-77.03531912028683,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 2}",1
38,False,"{'a': 0.5, 'e': 0.27700831024930717}",20,1,-91.98149574059214,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 2}",1
39,False,"{'a': 0.5, 'e': 0.26298487836949347}",20,0,4.255916494488191,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.24999999999999978}",20,5,3.5485614840275295,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.23795359904818542}",20,14,2.1824683890640237,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.22675736961451237}",20,5,-26.010730528264737,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.21633315305570572}",20,7,-28.03013504436125,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.20661157024793386}",30,8,-28.993548743519234,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.19753086419753085}",25,11,-1.901759091108735,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.18903591682419663}",30,17,23.262722234638076,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.1810774105930286}",25,11,-4.480852686719965,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.1736111111111112}",30,8,4.169868873431283,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.1665972511453562}",35,8,-48.09103245129351,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 2}",1
50,False,"{'a': 0.5, 'e': 0.16000000000000011}",20,0,10.557241739673696,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.1537870049980778}",30,12,18.998539757544606,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.14792899408284038}",30,15,-26.180960789401965,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
53,False,"{'a': 0.5, 'e': 0.14239943040227857}",25,11,14.736089558560687,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.1371742112482855}",30,4,-52.175833793023,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.13223140495867786}",25,0,-103.68449466538887,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",0
56,False,"{'a': 0.5, 'e': 0.12755102040816343}",20,14,11.626060058630696,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.12311480455524795}",25,8,28.029479058262826,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.11890606420927487}",30,12,7.839573303133919,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.11490950876185024}",25,10,-28.855313805782597,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.11111111111111131}",20,0,4.144299010712917,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.10749798441279246}",25,13,-68.03148397050188,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
62,False,"{'a': 0.5, 'e': 0.10405827263267449}",25,14,-33.02073065974241,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.10078105316200575}",25,13,-21.83495290494169,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.09765625000000021}",20,5,-17.811803624124025,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.09467455621301796}",25,1,-7.9275478811771,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.09182736455463748}",25,0,-37.41786536511905,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.0891067052795725}",25,0,14.42489995978352,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.0865051903114189}",20,9,7.85966073308214,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.08401596303297647}",25,13,23.838241444637543,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.08163265306122469}",35,17,-30.99908446267348,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.07934933544931581}",25,0,27.607726104110323,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.0771604938271607}",25,7,-9.388635454633473,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.07506098705197993}",25,10,26.652093477130553,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.07304601899196514}",25,0,23.182686048437656,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.0711111111111113}",25,8,24.56919434042195,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.06925207756232707}",25,10,28.416389759459403,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.0674650025299378}",20,12,10.404026525009368,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.06574621959237363}",30,7,27.939739844508953,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.06409229290177876}",20,12,16.527903232175365,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.0625000000000002}",20,10,17.767259209525683,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.06096631611034923}",30,2,33.62352502498895,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.0594883997620466}",20,0,22.23337380959147,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.058063579619683746}",20,16,6.995947466041811,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.05668934240362831}",20,11,17.622710369809763,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.05536332179930814}",20,9,20.282770718462075,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.05408328826392663}",30,3,44.483067002718805,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.0528471396485667}",25,20,11.152806963384544,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.05165289256198365}",30,16,-22.031964515513888,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.05049867440979692}",20,0,-26.960621464335848,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.04938271604938289}",25,9,3.23541141311324,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,2,35.518133168746644,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,16,6.786141206857263,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,5,24.323464321031892,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,9,27.249044684297804,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,8,24.895755584640835,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,11,21.16522367438706,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,10,17.929979774747423,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,10,17.55274719533608,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,8,28.46641743691175,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,8,25.288239320239214,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
