trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-43.471571659330856,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-130.6654062758048,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-165.13622478174818,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-93.80899517731075,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-28.343146248082043,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-88.96522855580916,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-85.97498327728034,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-129.91526503411427,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-149.73684135219105,"{0: 14, 1: 5, 2: 2, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-121.71719011100203,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-161.1377185288054,"{0: 14, 1: 6, 2: 2, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,12,-10.472949005358558,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-151.68651368839306,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-146.44383650011903,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-142.34155030115764,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-61.12323777115348,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-86.34915773942092,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-63.85630315390008,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-41.48959529304305,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-105.7334865428481,"{0: 21, 1: 0, 2: 7, 3: 1, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-18.881257367528516,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,0,-135.5314212886051,"{0: 16, 1: 7, 2: 5, 3: 1, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-88.21365145717515,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,0,-40.05710757279454,"{0: 21, 1: 5, 2: 4, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-34.851067769799094,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,2,-121.40800197682634,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 2}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-106.43578752941187,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-107.2953162780386,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-66.53038092914166,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-149.85664916225218,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
